workoutid,userid,date,sessiontag,total_sets,total_reps,volume_kg,sRPE
2,1,2024-09-08,Pull,7,75,2097.5,7.07
3,1,2024-09-09,Legs,9,68,2293.5,7.28
4,1,2024-09-11,Push,7,52,1748.5,7.33
5,1,2024-09-13,Pull,8,83,2306.5,7.62
6,1,2024-09-14,Legs,10,100,2989.75,6.95
7,1,2024-09-15,Push,7,57,1747.0,7.43
8,1,2024-09-18,Pull,11,89,2665.5,7.59
9,1,2024-09-19,Legs,10,76,2497.0,7.11
10,1,2024-09-21,Push,8,68,2105.0,7.81
11,1,2024-09-23,Pull,4,47,1300.0,7.12
12,1,2024-09-24,Legs,10,45,1598.75,8.0
13,1,2024-09-27,Push,8,70,2220.75,7.44
14,1,2024-09-28,Pull,5,49,1399.75,7.3
15,1,2024-09-29,Legs,9,85,2606.25,7.44
16,1,2024-10-02,Push,8,95,2726.75,7.12
17,1,2024-10-04,Pull,6,69,1773.5,7.0
18,1,2024-10-06,Legs,7,53,1610.5,7.93
19,1,2024-10-09,Push,9,67,1758.25,7.5
20,1,2024-10-11,Pull,5,66,1727.0,6.8
21,1,2024-10-12,Legs,7,48,1294.25,7.57
22,1,2024-10-13,Push,8,81,2509.5,7.5
23,1,2024-10-15,Pull,6,67,1809.5,6.92
24,1,2024-10-17,Legs,18,133,4472.75,7.14
25,1,2024-10-19,Push,14,132,3714.75,7.32
26,1,2024-10-20,Pull,6,76,1951.0,6.83
27,1,2024-10-22,Legs,11,81,2705.25,7.41
28,1,2024-10-25,Push,7,51,1446.5,7.57
29,1,2024-10-27,Pull,8,57,1733.0,7.38
30,1,2024-10-28,Legs,16,132,4294.5,7.34
31,1,2024-10-29,Push,9,78,2483.5,6.94
33,1,2024-11-03,Legs,11,97,2992.5,7.4
34,1,2024-11-06,Push,9,85,2306.25,7.28
35,1,2024-11-08,Pull,5,51,1423.0,7.1
36,1,2024-11-09,Legs,7,39,1363.25,7.5
37,1,2024-11-10,Push,10,94,2942.5,7.3
39,1,2024-11-16,Legs,10,63,2211.5,7.75
40,1,2024-11-20,Push,7,71,2010.0,7.21
41,1,2024-11-21,Pull,9,87,2432.25,7.17
42,1,2024-11-23,Legs,19,146,4814.0,7.33
43,1,2024-11-24,Push,14,124,3800.25,7.29
44,1,2024-11-27,Pull,5,66,1672.25,6.7
45,1,2024-11-29,Legs,10,55,1868.25,7.8
46,1,2024-11-30,Push,11,113,3441.25,7.14
47,1,2024-12-01,Pull,3,31,840.0,7.17
48,1,2024-12-04,Legs,9,79,2524.25,7.44
49,1,2024-12-06,Push,10,95,2936.5,6.95
50,1,2024-12-07,Pull,7,75,2200.25,7.43
51,1,2024-12-08,Legs,18,150,4797.25,7.44
53,1,2024-12-13,Pull,14,155,4382.75,7.25
54,1,2024-12-16,Legs,17,112,3658.25,7.41
55,1,2024-12-18,Push,9,89,2703.75,7.25
56,1,2024-12-20,Pull,5,56,1532.25,7.4
57,1,2024-12-21,Legs,10,86,2651.0,7.2
58,1,2024-12-22,Push,10,92,2955.75,7.11
59,1,2024-12-26,Pull,8,92,2627.0,7.0
61,1,2024-12-28,Push,8,75,2288.5,7.0
62,1,2025-01-01,Pull,11,120,3407.75,7.27
63,1,2025-01-03,Legs,8,61,2118.25,7.38
65,1,2025-01-05,Pull,4,44,1276.5,7.38
67,1,2025-01-10,Push,6,60,1812.75,7.17
68,1,2025-01-11,Pull,4,40,1152.0,6.5
69,1,2025-01-12,Legs,10,71,2472.0,7.4
71,1,2025-01-18,Pull,6,57,1706.5,7.1
72,1,2025-01-19,Legs,18,161,4778.25,7.35
73,1,2025-01-23,Push,6,69,2002.0,7.08
74,1,2025-01-24,Pull,7,86,2408.25,6.86
